Letter|Finished|TACE|Unicode11 |Unicode12|Unicode13|Unicode21|Unicode22|Unicode23|utf8_tace16_addend
அ|X|0xE201|0xe0|0xae|0x85||||0
ஆ|X|0xE202|0xe0|0xae|0x86||||0
இ|X|0xE203|0xe0|0xae|0x87||||0
ஈ|X|0xE204|0xe0|0xae|0x88||||0
உ|X|0xE205|0xe0|0xae|0x89||||0
ஊ|X|0xE206|0xe0|0xae|0x8a||||0
எ|X|0xE207|0xe0|0xae|0x8e||||0
ஏ|X|0xE208|0xe0|0xae|0x8f||||0
ஐ|X|0xE209|0xe0|0xae|0x90||||0
ஒ|X|0xE20A|0xe0|0xae|0x92||||9
ஓ|X|0xE20B|0xe0|0xae|0x93||||0
ஔ|X|0xE20C|0xe0|0xae|0x94||||0
ஃ|X|0xE20D|0xe0|0xae|0x83||||0
க்|X|0xE210|0xe0|0xae|0x95|0xe0|0xaf|0x8d|-1
க|X|0xE211|0xe0|0xae|0x95||||0
கா|X|0xE212|0xe0|0xae|0x95|0xe0|0xae|0xbe|1
கி|X|0xE213|0xe0|0xae|0x95|0xe0|0xae|0xbf|2
கீ|X|0xE214|0xe0|0xae|0x95|0xe0|0xaf|0x80|3
கு|X|0xE215|0xe0|0xae|0x95|0xe0|0xaf|0x81|4
கூ|X|0xE216|0xe0|0xae|0x95|0xe0|0xaf|0x82|5
கெ|X|0xE217|0xe0|0xae|0x95|0xe0|0xaf|0x86|6
கே|X|0xE218|0xe0|0xae|0x95|0xe0|0xaf|0x87|7
கை|X|0xE219|0xe0|0xae|0x95|0xe0|0xaf|0x88|8
கொ|X|0xE21A|0xe0|0xae|0x95|0xe0|0xaf|0x8a|9
கோ|X|0xE21B|0xe0|0xae|0x95|0xe0|0xaf|0x8b|10
கௌ|X|0xE21C|0xe0|0xae|0x95|0xe0|0xaf|0x8c|11
ங்|X|0xE220|0xe0|0xae|0x99|0xe0|0xaf|0x8d|-1
ங|X|0xE221|0xe0|0xae|0x99||||0
ஙா|X|0xE222|0xe0|0xae|0x99|0xe0|0xae|0xbe|1
ஙி|X|0xE223|0xe0|0xae|0x99|0xe0|0xae|0xbf|2
ஙீ|X|0xE224|0xe0|0xae|0x99|0xe0|0xaf|0x80|3
ஙு|X|0xE225|0xe0|0xae|0x99|0xe0|0xaf|0x81|4
ஙூ|X|0xE226|0xe0|0xae|0x99|0xe0|0xaf|0x82|5
ஙெ|X|0xE227|0xe0|0xae|0x99|0xe0|0xaf|0x86|6
ஙே|X|0xE228|0xe0|0xae|0x99|0xe0|0xaf|0x87|7
ஙை|X|0xE229|0xe0|0xae|0x99|0xe0|0xaf|0x88|8
ஙொ|X|0xE22A|0xe0|0xae|0x99|0xe0|0xaf|0x8a|9
ஙோ|X|0xE22B|0xe0|0xae|0x99|0xe0|0xaf|0x8b|10
ஙௌ|X|0xE22C|0xe0|0xae|0x99|0xe0|0xaf|0x8c|11
